prob,label,pred
0.78796214,1,1
0.7988366,1,1
0.8137834,1,1
0.835581,1,1
0.85480446,1,1
0.84277457,1,1
0.77764815,1,1
0.7049066,1,1
0.6561633,1,1
0.6237145,1,1
0.6335747,1,1
0.7365292,1,1
0.7400978,1,1
0.7598409,1,1
0.7738614,1,1
0.7576844,1,1
0.7417912,1,1
0.690924,1,1
0.65571386,1,1
0.6289619,1,1
0.7535132,1,1
0.7680725,1,1
0.7758158,1,1
0.73292744,1,1
0.738517,1,1
0.7780166,1,1
0.70373154,1,1
0.68485916,1,1
0.6996298,1,1
0.7574644,1,1
0.864189,1,1
0.8383581,1,1
0.89266425,1,1
0.8783799,1,1
0.8631447,1,1
0.856715,1,1
0.8101122,1,1
0.7907619,1,1
0.82071215,1,1
0.83066934,1,1
0.8738579,1,1
0.9153491,1,1
0.92068005,1,1
0.94276434,1,1
0.9425597,1,1
0.85222113,1,1
